fullID,name,registeredNumber,pricePerUnit,purchaseDate,setLocation,assetID,note
พ.7440-001-0255/58,เครื่องคอมพิวเตอร์ \ เครื่องคอมพิวเตอร์สำหรับปฏิบัติการข่าวสาร/สารสนเทศ หรือการตรวจสื่อมัลติมิเดีย ประกอบด้วย -2in1 USB OKER (KB-338)Black -DVD RW (SATA) ASUS -PS (80Plus) Seasonic S1211 620W -SATA-III -DDR3 16GB LED 21.5 Samsung -ATX(NP) CM NSE-300 KWN2 -PCle AMD R7 370/2GB -SSD -CPU Core I5,-,"29,375.00",9/30/2558,กอง 2,,ก.2 สปก.2 สุพรรณพงศ์
พ.7440-001-0256/58,เครื่องคอมพิวเตอร์ \ เครื่องคอมพิวเตอร์สำหรับปฏิบัติการข่าวสาร/สารสนเทศ หรือการตรวจสื่อมัลติมิเดีย ประกอบด้วย -2in1 USB OKER (KB-338)Black -DVD RW (SATA) ASUS -PS (80Plus) Seasonic S1211 620W -SATA-III -DDR3 16GB LED 21.5 Samsung -ATX(NP) CM NSE-300 KWN2 -PCle AMD R7 370/2GB -SSD -CPU Core I5,-,"29,375.00",9/30/2558,กอง 2,,ก.2 สวพ./สุรเชษฐ์ (จออยู่กับ ลักขณา)
พ.7440-001-0268/59,เครื่องคอมพิวเตอร์ \ Notebook ยี่ห้อ Apple รุ่น Macbook Air S/N:SC1MRK7N1H3QF,-,"45,900.00",6/7/2559,กอง 2,,ก.2 สวพ.สุรเชษฐ์
พ.7440-001-0269/59,เครื่องคอมพิวเตอร์ \ -Notebook ยี่ห้อ Dell 7559-W561082TH Black-win10 -Inn Premium Gift bo. 8 in 1 -กระเป๋า NB Essential 15.6 Backpack แถม NB Dell 15 นิ้ว -S/N:JMC09B2,-,"37,990.00",7/7/2559,กอง 2,,ก.2 สปก.1 ขันธพงศ์
พ.7440-001-0270/59,เครื่องคอมพิวเตอร์ \ -Notebook ยี่ห้อ Dell 7559-W561082TH Black-win10 -Inn Premium Gift bo. 8 in 1 -กระเป๋า NB Essential 15.6 Backpack แถม NB Dell 15 นิ้ว -S/N:FZJ99B2,-,"37,990.00",7/7/2559,กอง 2,,ก.2 ส่วนปฏิบัติการ 2 ตันติกร
พ.7440-001-0271/59,เครื่องคอมพิวเตอร์ \ -Notebook ยี่ห้อ Dell 7559-W561082TH Black-win10 -Inn Premium Gift bo. 8 in 1 -กระเป๋า NB Essential 15.6 Backpack แถม NB Dell 15 นิ้ว -S/N: 8Z889B2,-,"37,990.00",7/7/2559,กอง 2,,ก.2 สปก.1 พร้อมพงศ์
พ.7440-001-0272/59,เครื่องคอมพิวเตอร์ \ -Notebook ยี่ห้อ Dell 7559-W561082TH Black-win10 -Inn Premium Gift bo. 8 in 1 -กระเป๋า NB Essential 15.6 Backpack แถม NB Dell 15 นิ้ว -S/N:71K99B2,-,"37,990.00",7/7/2559,กอง 2,,ก.2 สปก.2 กนกพร
พ.7440-001-0273/59,เครื่องคอมพิวเตอร์ \ -Notebook ยี่ห้อ Dell 7559-W561082TH Black-win10 -Inn Premium Gift bo. 8 in 1 -กระเป๋า NB Essential 15.6 Backpack แถม NB Dell 15 นิ้ว -S/N:30K99B2,-,"37,990.00",7/7/2559,กอง 2,,ก.2 สปก.2 เพชรณเธียร
พ.7440-001-0369/60,เครื่องคอมพิวเตอร์ \ แท็บเล็ต Microsoft Surface Pro4 Intel Core I5 RAM 4GB/128GB,-,"37,900.00",6/11/2560,กอง 2,,ก.2 สปก.1 ทินกฤต
พ.7440-001-0370/60,เครื่องคอมพิวเตอร์ \ แท็บเล็ต Microsoft Surface Pro4 Intel Core I5 RAM 4GB/128GB,-,"37,900.00",6/11/2560,กอง 2,,ก.2 สวพ.ผอ.สวพ.
พ.7440-001-0383/60,"เครื่องคอมพิวเตอร์ \ เครื่องคอมพิวเตอร์สำหรับทดสอบระบบติดตั้งระบบปฏิบัติการไม่ต่ำกว่า-OS Windows 2010 Standard 1.DVD RW (SATA) ASUS 2.SATA-III (3Y) 2.TB Seagate 3.PS (80Plus) Corasir 750 w. 4.Windows 10 Pro 64 Bit 5.ATX (NP) AeroCool-800 (Gray) 6.DDR4 (2133) 16GB (8GBX2) 7.GTX 1050Ti/4GB MSI Gaming X (D5) Memmory:4GB GDDR5 8.CPU Core I5-7500 (Box-Ingram/Synnex) 9.(1151-VSL) MSI H270M MORTAR 10.LED 21.5"" ยี่ห้อ SAMSUNG",-,"40,660.00",11/13/2560,กอง 2,,กอง 2 สวพ. อยู่ห้องปฏิบัติการ
พ.7440-001-0384/60,"เครื่องคอมพิวเตอร์ \ เครื่องคอมพิวเตอร์สำหรับทดสอบระบบติดตั้งระบบปฏิบัติการไม่ต่ำกว่า-OS Windows 2010 Standard 1.DVD RW (SATA) ASUS 2.SATA-III (3Y) 2.TB Seagate 3.PS (80Plus) Corasir 750 w. 4.Windows 10 Pro 64 Bit 5.ATX (NP) AeroCool-800 (Gray) 6.DDR4 (2133) 16GB (8GBX2) 7.GTX 1050Ti/4GB MSI Gaming X (D5) Memmory:4GB GDDR5 8.CPU Core I5-7500 (Box-Ingram/Synnex) 9.(1151-VSL) MSI H270M MORTAR 10.LED 21.5"" ยี่ห้อ SAMSUNG",-,"40,660.00",11/13/2560,กอง 2,,กอง 2 สปก.1 ทรงกรต (จออยู่ สวพ.)
พ.7440-001-0385/60,"เครื่องคอมพิวเตอร์ \ เครื่องคอมพิวเตอร์สำหรับทดสอบระบบติดตั้งระบบปฏิบัติการไม่ต่ำกว่า-OS Windows 2010 Standard 1.DVD RW (SATA) ASUS 2.SATA-III (3Y) 2.TB Seagate 3.PS (80Plus) Corasir 750 w. 4.Windows 10 Pro 64 Bit 5.ATX (NP) AeroCool-800 (Gray) 6.DDR4 (2133) 16GB (8GBX2) 7.GTX 1050Ti/4GB MSI Gaming X (D5) Memmory:4GB GDDR5 8.CPU Core I5-7500 (Box-Ingram/Synnex) 9.(1151-VSL) MSI H270M MORTAR 10.LED 21.5"" ยี่ห้อ SAMSUNG",-,"40,660.00",11/13/2560,กอง 2,,กอง 2 สวพ. (จอ อยู่ สปก.1 ทรงกรต)
พ.7440-001-0386/60,"เครื่องคอมพิวเตอร์ \ เครื่องคอมพิวเตอร์สำหรับทดสอบระบบติดตั้งระบบปฏิบัติการไม่ต่ำกว่า-OS Windows 2010 Standard 1.DVD RW (SATA) ASUS 2.SATA-III (3Y) 2.TB Seagate 3.PS (80Plus) Corasir 750 w. 4.Windows 10 Pro 64 Bit 5.ATX (NP) AeroCool-800 (Gray) 6.DDR4 (2133) 16GB (8GBX2) 7.GTX 1050Ti/4GB MSI Gaming X (D5) Memmory:4GB GDDR5 8.CPU Core I5-7500 (Box-Ingram/Synnex) 9.(1151-VSL) MSI H270M MORTAR 10.LED 21.5"" ยี่ห้อ SAMSUNG",-,"40,660.00",11/13/2560,กอง 2,,กอง 2 สวพ. นิก (จออยู่ สปก.1 พีรณัฎฐ์)
พ.7440-001-0387/60,"เครื่องคอมพิวเตอร์ \ เครื่องคอมพิวเตอร์สำหรับทดสอบระบบติดตั้งระบบปฏิบัติการ Linux 1.DVD RW (SATA) ASUS 2.SATA-III (3Y) 2.TB Seagate 3.PS (80Plus) Corasir 750 w. 4.ATX (NP) AeroCool-800 (Gray) 5.DDR4 (2133) 16GB (8GBX2) 6.GTX1050Ti/4GB MSI Gaming X (D5) Memmory:4GB GDDR5 7.2in1 USB Microsoft (Desktop 600) 8.AMD Ryzen 7 1700 3.0 GHz 9. (AM4-SL) MSI B350 PC MATE 10.LED 21.5"" ยี่ห้อ SAMSUNG",-,"40,960.00",11/13/2560,กอง 2,,กอง 2 สวพ.
พ.7440-001-0388/60,"เครื่องคอมพิวเตอร์ \ เครื่องคอมพิวเตอร์สำหรับทดสอบระบบติดตั้งระบบปฏิบัติการ Linux 1.DVD RW (SATA) ASUS 2.SATA-III (3Y) 2.TB Seagate 3.PS (80Plus) Corasir 750 w. 4.ATX (NP) AeroCool-800 (Gray) 5.DDR4 (2133) 16GB (8GBX2) 6.GTX1050Ti/4GB MSI Gaming X (D5) Memmory:4GB GDDR5 7.2in1 USB Microsoft (Desktop 600) 8.AMD Ryzen 7 1700 3.0 GHz 9. (AM4-SL) MSI B350 PC MATE 10.LED 21.5"" ยี่ห้อ SAMSUNG",-,"40,960.00",11/13/2560,กอง 2,,กอง 2 สวพ.
พ.7440-001-0389/60,"เครื่องคอมพิวเตอร์ \ เครื่องคอมพิวเตอร์สำหรับทดสอบระบบติดตั้งระบบปฏิบัติการ Linux 1.DVD RW (SATA) ASUS 2.SATA-III (3Y) 2.TB Seagate 3.PS (80Plus) Corasir 750 w. 4.ATX (NP) AeroCool-800 (Gray) 5.DDR4 (2133) 16GB (8GBX2) 6.GTX1050Ti/4GB MSI Gaming X (D5) Memmory:4GB GDDR5 7.2in1 USB Microsoft (Desktop 600) 8.AMD Ryzen 7 1700 3.0 GHz 9. (AM4-SL) MSI B350 PC MATE 10.LED 21.5"" ยี่ห้อ SAMSUNG",-,"40,960.00",11/13/2560,กอง 2,,กอง 2 สวพ. ห้องปฏิบัติการ
พ.7440-001-0390/60,"เครื่องคอมพิวเตอร์ \ เครื่องคอมพิวเตอร์สำหรับทดสอบระบบติดตั้งระบบปฏิบัติการ Linux 1.DVD RW (SATA) ASUS 2.SATA-III (3Y) 2.TB Seagate 3.PS (80Plus) Corasir 750 w. 4.ATX (NP) AeroCool-800 (Gray) 5.DDR4 (2133) 16GB (8GBX2) 6.GTX1050Ti/4GB MSI Gaming X (D5) Memmory:4GB GDDR5 7.2in1 USB Microsoft (Desktop 600) 8.AMD Ryzen 7 1700 3.0 GHz 9. (AM4-SL) MSI B350 PC MATE 10.LED 21.5"" ยี่ห้อ SAMSUNG",-,"40,960.00",11/13/2560,กอง 2,,กอง 2 สวพ. นันทพงษ์ ห้องปฎิบัติการ
พ.7440-001-0513/61,เครื่องคอมพิวเตอร์ \ เครื่องแทบเล็ต PC Microsoft New Surface Core i5 8GB/128GB M1796 KJR-00013 S/N:038095381853,-,"38,900.00",10/5/2561,กอง 2,,กอง 2 สปก.1 ปฐมพร
พ.7440-001-0514/61,เครื่องคอมพิวเตอร์ \ เครื่องแทบเล็ต PC Microsoft New Surface Core i5 8GB/128GB M1796 KJR-00013 S/N:038155682353,-,"38,900.00",10/5/2561,กอง 2,,กอง 2 สปก.2 ศศิธร
พ.7440-001-0516/61,เครื่องคอมพิวเตอร์ \ เครื่องแทบเล็ต PC Microsoft New Surface Core i5 8GB/128GB M1796 KJR-00013 S/N:038415781853,-,"38,900.00",10/5/2561,กอง 2,,กอง 2 สปก.2 สุพรรณพงศ์
พ.7440-001-0517/61,เครื่องคอมพิวเตอร์ \ เครื่องแทบเล็ต PC Microsoft New Surface Core i5 8GB/128GB M1796 KJR-00013 S/N:038488481853,-,"38,900.00",10/5/2561,กอง 2,,กอง 2 สปก.1 นพัต
พ.7440-001-0518/61,เครื่องคอมพิวเตอร์ \ เครื่องแทบเล็ต PC Microsoft New Surface Core i5 8GB/128GB M1796 KJR-00013 S/N:052347781853,-,"38,900.00",10/5/2561,กอง 2,,กอง 2 สปก.2 วรัญธร
พ.7440-001-0519/61,เครื่องคอมพิวเตอร์ \ เครื่องแทบเล็ต Ipad รุ่น 2018 ความจุ 128GB พร้อม Apple Pencil S/N:354886090770417,-,"23,300.00",10/5/2561,กอง 2,,กอง 2 สปก.2 ณัฐพงษ์
พ.7440-001-0520/61,เครื่องคอมพิวเตอร์ \ เครื่องแทบเล็ต Ipad รุ่น 2018 ความจุ 128GB พร้อม Apple Pencil S/N:3548860988936,-,"23,300.00",10/5/2561,กอง 2,,กอง 2 กนกพร
พ.7440-001-0521/61,เครื่องคอมพิวเตอร์ \ เครื่องแทบเล็ต Ipad รุ่น 2018 ความจุ 128GB พร้อม Apple Pencil S/N:354887091274722,-,"23,300.00",10/5/2561,กอง 2,,กอง 2 สปก.1 พีรณัฏฐ์
พ.7440-001-0614/62,เครื่องคอมพิวเตอร์ \ คอมพิวเตอร์ตั้งโต๊ะ 1 ชุด ประกอบด้วย CPU Intel 1151 core i7 8700 3.2 GHz 3-Y+SDD 240GB+HD 2TB+DDR4-RAM+Keyboard&Mouse+PSU Cougar+MB 1511+VGA GALAX+DVD-RW ASUS+ATX CASE+Monitor 23.8 Acer SN: CPU 62-54994 SN: จอ MMT92ST001932078A62430 SNID: 93203088624,-,"29,750.00",12/3/2562,กอง 2,,ก.2 สปก.2 ตันติกร
พ.7440-001-0615/62,เครื่องคอมพิวเตอร์ \ คอมพิวเตอร์ตั้งโต๊ะ 1 ชุด ประกอบด้วย CPU Intel 1151 core i7 8700 3.2 GHz 3-Y+SDD 240GB+HD 2TB+DDR4-RAM+Keyboard&Mouse+PSU Cougar+MB 1511+VGA GALAX+DVD-RW ASUS+ATX CASE+Monitor 23.8 Acer SN: CPU 62-54995 SN: จอ MMT92ST001932071782430 SNID: 93202904824,-,"29,750.00",12/3/2562,กอง 2,,ก.2 กนกพร
พ.7440-001-0616/62,เครื่องคอมพิวเตอร์ \ คอมพิวเตอร์ตั้งโต๊ะ 1 ชุด ประกอบด้วย CPU Intel 1151 core i7 8700 3.2 GHz 3-Y+SDD 240GB+HD 2TB+DDR4-RAM+Keyboard&Mouse+PSU Cougar+MB 1511+VGA GALAX+DVD-RW ASUS+ATX CASE+Monitor 23.8 Acer SN: CPU 62-54992 SN: จอ MMT92ST001932077C62430 SNID: 93203066224,-,"29,750.00",12/3/2562,กอง 2,,ก.2 สปก.2 เพชรณเธียร
พ.7440-001-0617/62,เครื่องคอมพิวเตอร์ \ คอมพิวเตอร์ตั้งโต๊ะ 1 ชุด ประกอบด้วย CPU Intel 1151 core i7 8700 3.2 GHz 3-Y+SDD 240GB+HD 2TB+DDR4-RAM+Keyboard&Mouse+PSU Cougar+MB 1511+VGA GALAX+DVD-RW ASUS+ATX CASE+Monitor 23.8 Acer SN: CPU 62-54996 SN: จอ MMT92ST001932077C52430 SNID: 93203066124,-,"29,750.00",12/3/2562,กอง 2,,ก.2 สปก.1 พร้อมพงศ์
พ.7440-001-0618/62,เครื่องคอมพิวเตอร์ \ คอมพิวเตอร์ตั้งโต๊ะ 1 ชุด ประกอบด้วย CPU Intel 1151 core i7 8700 3.2 GHz 3-Y+SDD 240GB+HD 2TB+DDR4-RAM+Keyboard&Mouse+PSU Cougar+MB 1511+VGA GALAX+DVD-RW ASUS+ATX CASE+Monitor 23.8 Acer SN: CPU 62-54993 SN: จอ MMT92ST001932074172430 SNID: 93202971924,-,"29,750.00",12/3/2562,กอง 2,,ก.2 สวพ.ขันธพงษ์
พ.7440-023-0003/62,เครื่องคอมพิวเตอร์ NOTE BOOK \ Notebook Acer Swift 3 SF314-550-7577/i7 8565U/8GB/512+ชุดโปรแกรมระบบปฏิบัติการ windows 10 Home 64 Bit ENG OEM (KW9-00139) SN:NXHBJST00492301B787200,-,"25,500.00",12/3/2562,กอง 2,,ก.2 สปก.1 นิก
พ.7440-023-0004/62,เครื่องคอมพิวเตอร์ NOTE BOOK \ Notebook Acer Swift 3 SF314-550-7577/i7 8565U/8GB/512+ชุดโปรแกรมระบบปฏิบัติการ windows 10 Home 64 Bit ENG OEM (KW9-00139) SN:NXHBJST00492301BB57200,-,"25,500.00",12/3/2562,กอง 2,,ก.2 สวพ. (สุราชษฎ์)
พ.7440-023-0005/62,เครื่องคอมพิวเตอร์ NOTE BOOK \ Notebook Acer Swift 3 SF314-550-7577/i7 8565U/8GB/512+ชุดโปรแกรมระบบปฏิบัติการ windows 10 Home 64 Bit ENG OEM (KW9-00139) SN:NXHBJST004916016D87200,-,"25,500.00",12/3/2562,กอง 2,,ก.2 สปก.1 (กรต)
พ.7440-023-0006/62,เครื่องคอมพิวเตอร์ NOTE BOOK \ Notebook Acer Swift 3 SF314-550-7577/i7 8565U/8GB/512+ชุดโปรแกรมระบบปฏิบัติการ windows 10 Home 64 Bit ENG OEM (KW9-00139) SN:NXHBJST004929038067200,-,"25,500.00",12/3/2562,กอง 2,,ก.2 สปก.1 สถิตย์
พ.7440-023-0007/62,เครื่องคอมพิวเตอร์ NOTE BOOK \ Notebook Acer Swift 3 SF314-550-7577/i7 8565U/8GB/512+ชุดโปรแกรมระบบปฏิบัติการ windows 10 Home 64 Bit ENG OEM (KW9-00139) SN:NXHBJST00492301B567200,-,"25,500.00",12/3/2562,กอง 2,,ก.2 สวพ.นันทพงษ์
พ.7440-023-0008/62,เครื่องคอมพิวเตอร์ NOTE BOOK \ Notebook Acer Swift 3 SF314-550-7577/i7 8565U/8GB/512+ชุดโปรแกรมระบบปฏิบัติการ windows 10 Home 64 Bit ENG OEM (KW9-00139) SN:NXHBJST00492301B747200,-,"25,500.00",12/3/2562,กอง 2,,ก.2 สปก.1 (อะตอม)
พ.7440-023-0009/62,เครื่องคอมพิวเตอร์ NOTE BOOK \ Notebook Acer Swift 3 SF314-550-7577/i7 8565U/8GB/512+ชุดโปรแกรมระบบปฏิบัติการ windows 10 Home 64 Bit ENG OEM (KW9-00139) SN:NXHBJST00492301BC77200,-,"25,500.00",12/3/2562,กอง 2,,ก.2 สปก.2 (ณัฐพงษ์)
พ.7440-023-0010/62,เครื่องคอมพิวเตอร์ NOTE BOOK \ Notebook Acer Swift 3 SF314-550-7577/i7 8565U/8GB/512+ชุดโปรแกรมระบบปฏิบัติการ windows 10 Home 64 Bit ENG OEM (KW9-00139) SN:,-,"25,500.00",12/3/2562,กอง 2,,ก.2 สปก.2 ตันติกร
พ.7440-023-0011/62,เครื่องคอมพิวเตอร์ NOTE BOOK \ Notebook Acer Swift 3 SF314-550-7577/i7 8565U/8GB/512+ชุดโปรแกรมระบบปฏิบัติการ windows 10 Home 64 Bit ENG OEM (KW9-00139) SN:,-,"25,500.00",12/3/2562,กอง 2,,ก.2 สปก.2 เชาววุฒิ
พ.7440-023-0020/64,เครื่องคอมพิวเตอร์ NOTE BOOK \ คอมพิวเตอร์พกพา ยี่ห้อ Acer รุ่น Travelmate P2 Shale black SN:NXVLFST00D952127F27600,-,"14,390.00",4/30/2564,กอง 2,,ก.2
พ.7440-023-0021/64,เครื่องคอมพิวเตอร์ NOTE BOOK \ คอมพิวเตอร์พกพา ยี่ห้อ Acer รุ่น Travelmate P2 Shale black SN:NXVLFST00D952127EC7600,-,"14,390.00",4/30/2564,กอง 2,,ก.2
พ.7440-024-0001/59,เครื่องคอมพิวเตอร์แม่ข่าย \ อุปกรณ์จัดเก็บข้อมูล Network Attacked Storage ประกอบด้วย -QNAP TVS-471 4BAY TURBO NAS Dual-Core i3-4150 3.5GHz 4GB (Up to 8GB) (4K 30Hz) -HDI 3.0 TB SATA III WESTERN NASWARE (64MB) 3Y WD RED,-,"58,440.00",6/8/2559,กอง 2,,ก.2 ส่วนปฏิบัติการ 2
พ.7440-024-0010/60,"เครื่องคอมพิวเตอร์แม่ข่าย \ เครื่องคอมพิวเตอร์แม่ข่าย (Server) สำหรับใช้ทดสอบห้องปฏิบัติการทางเทคนิค 1.Dell PowerEdge T330 Intel Xeon E-3-1220v6 3.0GHz,8MB Cache,4-Core/4-Thread,turbo (72W) 8GB UDIMM 2.Onsite Service by Dell 3.Dell 19 Monitor (E1916HV, 18.5-inch) (Warranty 3Yrs 4.Dell Multimedia Keyboard(Thai)-KB216-Black-(Brown Box) 5.Kit-Dell Optical Mouse-MS116-Black Retail Box-S&P 6.WinSvrSTDCore 2016 OLP 2Lic NL Gov Corelic",-,"77,949.50",11/13/2560,กอง 2,,กอง 2 สวพ. (จออยู่ห้อง LAB)
พ.7440-024-0011/60,"เครื่องคอมพิวเตอร์แม่ข่าย \ เครื่องคอมพิวเตอร์แม่ข่าย (Server) สำหรับใช้ทดสอบห้องปฏิบัติการทางเทคนิค 1.Dell PowerEdge T330 Intel Xeon E-3-1220v6 3.0GHz,8MB Cache,4-Core/4-Thread,turbo (72W) 8GB UDIMM 2.Onsite Service by Dell 3.Dell 19 Monitor (E1916HV, 18.5-inch) (Warranty 3Yrs 4.Dell Multimedia Keyboard(Thai)-KB216-Black-(Brown Box) 5.Kit-Dell Optical Mouse-MS116-Black Retail Box-S&P 6.WinSvrSTDCore 2016 OLP 2Lic NL Gov Corelic",-,"77,949.50",11/13/2560,กอง 2,,กอง 2 สวพ. (จออยู่ห้อง LAB)
พ.7430-008-0022/61,เครื่องทำลายเอกสาร \ เครื่องทำลายเอกสารแผ่น CD และเอกสาร FELLOWES รุ่น 99CI,-,"14,900.00",10/16/2561,กอง 2,,กอง 2 ฝบท.
พ.7430-005-0049/59,เครื่องโทรสาร \ เครื่องโทรสารเลเซอร์มัลติฟังชั่น ยี่ห้อ พานาโซนิค รุ่น DP-MB251CX S/N:6CBFF001969,-,"19,795.00",8/30/2559,กอง 2,,ก.2 ฝ่ายบริหารทั่วไป
พ.7430-005-0050/59,เครื่องโทรสาร \ เครื่องโทรสารเลเซอร์มัลติฟังชั่น ยี่ห้อ พานาโซนิค รุ่น DP-MB251CX S/N:6CBFF001974,-,"19,795.00",8/30/2559,กอง 2,,ก.2 สปก.2
พ.7440-018-0103/60,เครื่องปรับแรงดันและสำรองกระแสไฟฟ้า (UPS) \ เครื่องสำรองไฟฟ้า UPS ขนาด 1000 VA ZIR-D-Series 1200VA/720W Rating:1200VA/720W Line Interactive UPS with Stabilizer Backup Time 15.30 Mins,-,"4,387.00",11/13/2560,กอง 2,,กอง 2 ส่วนปฏิบัติการที่ 1
พ.6730-015-0002/57,เครื่องโปรเจคเตอร์-เครื่องฉายภาพข้ามศรีษะ \ ยี่ห้อ Vivitex Qumi Q5,-,"19,700.00",3/10/2557,กอง 2,,กอง 2 สปก.1
พ.6730-015-0011/61,เครื่องโปรเจคเตอร์-เครื่องฉายภาพข้ามศรีษะ \ เครื่องโปรเจคเตอร์ Projector Full HD Viewsonic PX747-4x SL:VBZ18210126,-,"38,900.00",10/9/2561,กอง 2,,กอง 2 ฝบท.
พ.7490-007-0058/58,เครื่องพิมพ์ (PRINTER) \ ยี่ห้อ HP-B4A22A CLJ Pro M252dw Printer,-,"20,758.00",7/16/2558,กอง 2,,ก.2 ฝ่ายบริหารทั่วไป
พ.7490-007-0059/58,เครื่องพิมพ์ (PRINTER) \ ยี่ห้อ HP-B4A22A CLJ Pro M252dw Printer,-,"20,758.00",7/16/2558,กอง 2,,ก.2 สปก.2 ส่วนกลาง
พ.7490-007-0162/62,เครื่องพิมพ์ (PRINTER) \ เครื่องพิมพ์แบบ 3 มิติ 3DW0X1 ยี่ห้อ Sindoh,-,"65,250.00",12/3/2562,กอง 2,,ก.2 ห้องปฏิบัติการ
พ.5820-018-0031/62,"เครื่องมือพิเศษ \ ระบบ Access Control ประกอบด้วย เครื่อง Scan ใบหน้า รุ่น Bio 800 , เครื่อง Scan นิ้ว รุ่น FR1500 , Power Backup 12 VCD 3A , ชุดกลอน electric bolt",-,"24,717.00",5/10/2562,กอง 2,,กอง 2 ประตูหน้าลิฟท์
พ.5820-018-0032/62,"เครื่องมือพิเศษ \ ระบบ Access Control ประกอบด้วย เครื่อง Scan ใบหน้า รุ่น Bio 800 , เครื่อง Scan นิ้ว รุ่น FR1500 , Power Backup 12 VCD 3A , ชุดกลอน electric bolt",-,"24,717.00",5/10/2562,กอง 2,,กอง 2 ห้องปฏิบัติการ
พ.5820-018-0033/62,"เครื่องมือพิเศษ \ อุปกรณ์จัดการจอภาพ/รุ่น 68D อุปกรณ์ส่งภาพ HDMI Wifi (1 set) ส่งภาพแบบไร้สาย , สามารถแสดงจอภาพหน้าจอคอมฯ แท็บเล็ต โทรศัพท์ 1-4 เครื่องพร้อมกัน , มี USB Sander , รองรับจอสัมผัส , มีซอฟแวร์ Interactive Whiteboard , บันทึก file ในเครื่องรับ , ติดตั้ง Android Application",-,"33,972.50",5/10/2562,กอง 2,,กอง 2 ห้อง LAB ปฏิบัติการ
